,hyperparameter,importance_max_min,importance_variance,n_hyperparameters,task_id
0,batch_size,1.4239498978776908,0.005971756583440374,1,cifar10
1,epochs,29.036437660142873,0.09919898037103679,1,cifar10
2,horizontal_flip,0.10154433987599987,0.004547999998181751,1,cifar10
3,learning_rate_decay,7.305308060670939,0.05524221550913204,1,cifar10
4,learning_rate_init,53.80754860598663,0.12031590093987785,1,cifar10
5,momentum,6.409495544589788,0.07882919228790805,1,cifar10
6,patience,0.736860556199133,0.019572884558387328,1,cifar10
7,resize_crop,0.3207802036953069,0.0021671312049202688,1,cifar10
8,shuffle,0.1445200509913036,0.0001414250599678904,1,cifar10
9,tolerance,0.9056301170835894,0.0016127215861681445,1,cifar10
10,vertical_flip,0.3864730636153979,0.001290585755904707,1,cifar10
11,weight_decay,7.855423616748936,0.07051247829202249,1,cifar10
12,batch_size / epochs,35.641819268519036,0.006656781218165354,2,cifar10
13,batch_size / horizontal_flip,0.7714879894202511,0.00016085941045314596,2,cifar10
14,batch_size / learning_rate_decay,7.9113959222710974,8.439996584653299e-05,2,cifar10
15,batch_size / learning_rate_init,59.95388174277663,0.0027576547397757615,2,cifar10
16,batch_size / momentum,8.15671677845134,0.004426088152358626,2,cifar10
17,batch_size / patience,2.231036967181268,0.0008185725436079162,2,cifar10
18,batch_size / resize_crop,0.8961003063781021,0.00030958062039932686,2,cifar10
19,batch_size / shuffle,0.3999615121322364,3.048335014671887e-05,2,cifar10
20,batch_size / tolerance,1.8848102703739897,0.0020835462428927653,2,cifar10
21,batch_size / vertical_flip,0.5574546538101544,0.0005673540225822754,2,cifar10
22,batch_size / weight_decay,9.847592274624745,0.00551887579854074,2,cifar10
23,epochs / horizontal_flip,0.11007204854767139,0.005759818408188772,2,cifar10
24,epochs / learning_rate_decay,31.826218113571244,0.00454606056921106,2,cifar10
25,epochs / learning_rate_init,66.42971111646831,0.02646363167031865,2,cifar10
26,epochs / momentum,36.7246608456555,0.02290431065124161,2,cifar10
27,epochs / patience,30.383270388726572,0.010575412070207409,2,cifar10
28,epochs / resize_crop,0.05066506170678764,0.0031110894421330906,2,cifar10
29,epochs / shuffle,0.5370321161883567,0.0002808018271314658,2,cifar10
30,epochs / tolerance,29.538817951671597,0.0004824626137896299,2,cifar10
31,epochs / vertical_flip,0.008674497409906223,0.003940837810014784,2,cifar10
32,epochs / weight_decay,34.56443443766845,0.012869497258532602,2,cifar10
33,horizontal_flip / learning_rate_decay,7.320627244148966,6.555680122913348e-05,2,cifar10
34,horizontal_flip / learning_rate_init,54.05952609138858,0.026901168325360034,2,cifar10
35,horizontal_flip / momentum,6.50030740191275,0.0009600999626488021,2,cifar10
36,horizontal_flip / patience,1.6049896608403174,0.02593956103360458,2,cifar10
37,horizontal_flip / resize_crop,0.6677720754622811,0.0005894097738889877,2,cifar10
38,horizontal_flip / shuffle,0.24606439086730347,9.373704609733919e-05,2,cifar10
39,horizontal_flip / tolerance,0.8561714455590277,3.3462953277227385e-05,2,cifar10
40,horizontal_flip / vertical_flip,0.48801740349138356,0.00017865318376817822,2,cifar10
41,horizontal_flip / weight_decay,7.868275662348509,0.00045904527308434175,2,cifar10
42,learning_rate_decay / learning_rate_init,56.77552043888524,0.0035912779889038884,2,cifar10
43,learning_rate_decay / momentum,10.72133846870527,0.017742622082662272,2,cifar10
44,learning_rate_decay / patience,7.868619410800235,0.0005570522721908048,2,cifar10
45,learning_rate_decay / resize_crop,0.8133173103258002,8.841280152999755e-05,2,cifar10
46,learning_rate_decay / shuffle,0.2619399346279323,7.324563716238052e-06,2,cifar10
47,learning_rate_decay / tolerance,7.888090062198145,3.0006158554920214e-05,2,cifar10
48,learning_rate_decay / vertical_flip,0.3949026891026648,8.00625618626083e-05,2,cifar10
49,learning_rate_decay / weight_decay,16.632190307536533,0.0018185681552251082,2,cifar10
50,learning_rate_init / momentum,60.665069267803155,0.06755958810960663,2,cifar10
51,learning_rate_init / patience,54.422847054708114,0.0059334799138183476,2,cifar10
