% {"flow_id": 6970, "openml_server": "https://www.openml.org/api/v1/xml", "col_parameters": ["adaboostclassifier__algorithm", "adaboostclassifier__learning_rate", "adaboostclassifier__base_estimator__max_depth", "adaboostclassifier__n_estimators", "columntransformer__numeric__imputer__strategy"], "col_measures": ["predictive_accuracy"], "normalized_y": false, "study_id": "OpenML100", "num_runs": 400}
@RELATION openml-meta-flow-6970

@ATTRIBUTE adaboostclassifier__algorithm {SAMME, SAMME.R}
@ATTRIBUTE adaboostclassifier__learning_rate NUMERIC
@ATTRIBUTE adaboostclassifier__base_estimator__max_depth NUMERIC
@ATTRIBUTE adaboostclassifier__n_estimators NUMERIC
@ATTRIBUTE columntransformer__numeric__imputer__strategy {median, mean, most_frequent}
@ATTRIBUTE predictive_accuracy NUMERIC
@ATTRIBUTE task_id NUMERIC

@DATA
SAMME,0.13763986428910163,9,161,median,0.996558,3
SAMME.R,0.043673544944092015,2,198,mean,0.975907,3
SAMME,0.6343548871169865,6,430,most_frequent,0.995932,3
SAMME,0.011909075821047799,10,326,most_frequent,0.996558,3
SAMME.R,0.012330078796171304,6,106,median,0.99562,3
SAMME,0.11168404025938139,4,106,mean,0.967146,3
SAMME,0.05621160916015674,5,319,mean,0.991552,3
SAMME.R,0.02326694325195411,8,143,most_frequent,0.993742,3
SAMME,0.040263443407232924,10,342,most_frequent,0.997184,3
SAMME.R,0.020297140542444195,5,229,median,0.996245,3
SAMME,0.130278922167231,5,181,most_frequent,0.992804,3
SAMME.R,1.0424273872389436,9,110,mean,0.995932,3
SAMME,0.04705462280414025,5,287,median,0.989362,3
SAMME,0.0171429085015103,3,318,most_frequent,0.940864,3
SAMME.R,0.016051935566150304,4,64,mean,0.98811,3
SAMME.R,0.015033375108277049,5,295,most_frequent,0.995932,3
SAMME.R,0.7290999817660428,9,440,most_frequent,0.994994,3
SAMME.R,0.4567863617257383,1,358,most_frequent,0.969337,3
SAMME.R,0.17200146556124693,2,472,most_frequent,0.995932,3
SAMME.R,0.0506108851700031,10,116,median,0.994368,3
SAMME.R,0.9854924249394553,4,446,mean,0.997497,3
SAMME,0.39960093551040604,10,456,median,0.99562,3
SAMME.R,0.01624761418045206,6,421,most_frequent,0.994681,3
SAMME.R,0.01426627550105472,2,92,mean,0.940864,3
SAMME.R,0.6257137438787295,8,157,mean,0.994681,3
SAMME,1.7550889005575123,1,159,most_frequent,0.773154,3
SAMME.R,0.010502382836581847,7,164,median,0.994055,3
SAMME.R,0.38852351429716636,6,236,mean,0.994681,3
SAMME,0.11907322022355613,5,65,median,0.974656,3
SAMME.R,1.9995437973504546,4,430,mean,0.98592,3
SAMME.R,0.02693171098728032,5,108,mean,0.996245,3
SAMME,0.04639806894069244,6,102,median,0.984043,3
SAMME.R,0.0712972401946744,2,360,median,0.990613,3
SAMME,0.01743654868337208,1,259,median,0.904255,3
SAMME,1.391761262501164,10,278,most_frequent,0.99562,3
SAMME.R,1.7689738653336111,10,225,mean,0.996558,3
SAMME.R,0.18430017885994948,3,141,median,0.996245,3
SAMME,0.06121736957100122,4,360,median,0.98373,3
SAMME.R,0.02022686769941366,4,269,most_frequent,0.99562,3
SAMME.R,0.5095163558472241,6,430,most_frequent,0.994994,3
SAMME,0.013491379317908907,2,234,most_frequent,0.904255,3
SAMME,0.759611618017354,7,485,most_frequent,0.996245,3
SAMME,0.24830435818616517,2,235,most_frequent,0.970901,3
SAMME,0.7237234932364578,8,52,most_frequent,0.995307,3
SAMME.R,0.015423578627059922,5,306,median,0.99562,3
SAMME,0.9189803626056278,7,73,mean,0.995307,3
SAMME.R,0.09666730451574242,1,365,median,0.950563,3
SAMME,0.12733567725770267,3,424,median,0.977159,3
SAMME,0.11065123821312875,2,351,mean,0.964643,3
SAMME.R,0.02566772699979754,9,125,most_frequent,0.995307,3
SAMME.R,0.023621837050887096,1,412,most_frequent,0.940551,3
SAMME.R,0.012186247060698206,8,146,median,0.994994,3
SAMME.R,0.32154615263473135,4,346,median,0.994994,3
SAMME.R,0.3065415720854294,10,447,most_frequent,0.991239,3
SAMME.R,0.01126672159991973,4,364,most_frequent,0.995307,3
SAMME.R,1.8977036642834644,3,341,mean,0.99562,3
SAMME.R,0.12039490665917918,3,200,most_frequent,0.996245,3
SAMME,0.05488291260823012,2,229,median,0.956195,3
SAMME,0.014817314304114048,1,265,most_frequent,0.885169,3
SAMME,1.058027285273968,10,419,most_frequent,0.995307,3
SAMME.R,0.3005344730319844,8,393,median,0.993116,3
SAMME.R,1.9898156358694838,8,462,median,0.991239,3
SAMME.R,1.8286012354042556,6,490,median,0.99562,3
SAMME.R,0.5695330617894317,2,224,mean,0.996558,3
SAMME.R,0.148769619527559,6,491,most_frequent,0.993742,3
SAMME.R,0.19472089462831565,1,93,median,0.947121,3
SAMME.R,1.6463682946643194,8,377,median,0.995932,3
SAMME.R,0.1151639155885762,8,481,mean,0.991239,3
SAMME.R,0.16920414659846977,2,167,most_frequent,0.994055,3
SAMME,0.02838962263700058,4,392,most_frequent,0.950876,3
SAMME,0.8046675690408525,3,461,median,0.993429,3
SAMME,0.01014823895955339,6,451,median,0.981227,3
SAMME,0.03970231318098634,6,359,mean,0.993116,3
SAMME,0.12597306891545162,7,422,mean,0.996245,3
SAMME,0.9796759532765315,2,135,mean,0.959324,3
SAMME,0.1442613682490248,1,458,median,0.834793,3
SAMME,0.8038381483286098,4,442,median,0.996871,3
SAMME.R,0.10062888564451143,5,366,median,0.994681,3
SAMME.R,0.015508380023543883,5,259,mean,0.995307,3
SAMME.R,0.024525727417146512,1,372,most_frequent,0.940864,3
SAMME.R,0.01978774710823294,10,165,most_frequent,0.994681,3
SAMME.R,0.07501415024678919,7,336,mean,0.992804,3
SAMME.R,1.7505572908937044,4,280,most_frequent,0.996245,3
SAMME,1.4337973913537079,9,398,mean,0.996245,3
SAMME.R,1.1631275215803065,4,104,mean,0.996871,3
SAMME,0.1757059616057716,3,65,most_frequent,0.954944,3
SAMME,0.08066434809364782,5,195,most_frequent,0.989987,3
SAMME,0.205597679644132,2,241,median,0.969024,3
SAMME.R,0.4286265316164854,1,203,most_frequent,0.965895,3
SAMME.R,0.01442664385780126,7,150,mean,0.994994,3
SAMME.R,0.010075559458931311,5,86,most_frequent,0.993742,3
SAMME.R,0.09963936250953404,8,396,most_frequent,0.991552,3
SAMME,0.14107150996562798,1,248,median,0.809762,3
SAMME,0.09096759976021884,8,197,mean,0.996245,3
SAMME,0.7694682203768011,2,168,median,0.967146,3
SAMME.R,0.04993012199602667,6,444,mean,0.995307,3
SAMME.R,0.026043434616256685,10,394,mean,0.993116,3
SAMME.R,0.5299304312889594,1,154,mean,0.966834,3
