task_id,bootstrap,split criterion,max. features,min. samples leaf,min. samples split,imputation,bootstrap / split criterion,bootstrap / split criterion / max. feat.,bootstrap / split criterion / samples leaf,bootstrap / split criterion / samples split,bootstrap / split criterion / imputation,bootstrap / max. features,bootstrap / max. feat. / samples leaf,bootstrap / max. feat. / samples split,bootstrap / max. feat. / imputation,bootstrap / min. samples leaf,bootstrap / samples leaf / samples split,bootstrap / samples leaf / imputation,bootstrap / min. samples split,bootstrap / samples split / imputation,bootstrap / imputation,split criterion / max. features,split criterion / max. feat. / samples leaf,split criterion / max. feat. / samples split,split criterion / max. feat. / imputation,split criterion / min. samples leaf,split criterion / samples leaf / samples split,split criterion / samples leaf / imputation,split criterion / min. samples split,split criterion / samples split / imputation,split criterion / imputation,max. features / min. samples leaf,max. feat. / samples leaf / samples split,max. feat. / samples leaf / imputation,max. features / min. samples split,max. feat. / samples split / imputation,max. features / imputation,min. samples leaf / min. samples split,samples leaf / samples split / imputation,min. samples leaf / imputation,min. samples split / imputation
Task 9983,0.04810334226187174,0.007248657035230161,0.13330080673881506,0.6692498207862665,0.0036962567093002142,0.0002742264205539036,0.0005715553603538662,0.0008514642603107067,0.0019281197739678332,0.00015091378072082254,2.8383492765246673e-05,0.02983148281223988,0.014618219729074206,0.0009999661159156232,0.0005421630454595786,0.0076269153458118355,0.00402298531095948,0.0014022684189186445,0.0007614672148371425,0.00010366878253279086,0.00039859088326523265,0.0013588933286809712,0.003547174887446075,0.00017264841961844727,3.0912396698162944e-05,0.002865761006897838,0.0007476567463822179,0.00019875846876087923,0.00013199769422156523,1.4954342345806725e-05,2.508139521445994e-05,0.025888183207149584,0.006640048161608826,0.002697292353942088,0.0020028058318419454,0.00013196957041489263,0.0008300924888851349,0.014133905786312677,0.0007025965964565796,0.0020010332028616608,0.00017127621523524309
Task 3913,0.09622483485349659,0.0010875147903090729,0.1745154752270111,0.1343103564110605,0.005269722867093481,0.0013279462394087292,0.0011844908114016159,0.004360756416380257,0.0014597922459359536,0.0002743490214222105,0.00010710221385203328,0.1619034970237646,0.06184710326100179,0.007537401982675225,0.002706019059769159,0.061602124902319116,0.010874479434129287,0.004805278543521287,0.0029657735061976616,0.0005659615311491861,0.0009090820543651253,0.0028071206076167865,0.007360637144606497,0.004387721825434849,0.0003847943258101663,0.0024474146671737973,0.0008085401708454237,0.0007271425030117454,0.00070389783803742,0.00010098620961834716,0.00011487217320653247,0.12645192989114698,0.02398814303889096,0.009521419921880138,0.015255075166235896,0.002321133812317149,0.004017187358106172,0.013484436699888556,0.0016972403916467194,0.004122398541286692,0.0007604541783726557
Task 146195,0.07045031525650447,0.0018125506447726912,0.15050662619399133,0.6101332014319832,0.0009264178845399549,0.0005144087291710361,0.000248991562194585,0.0006899984875196469,0.001723584721011433,9.495367306683626e-05,5.3278142762604825e-05,0.03909551965132871,0.02072810908876002,0.001690076340236728,0.0006405090095904214,0.01084685870161306,0.004023635008432268,0.003045121378877717,0.000998966816851867,7.070709259230485e-05,0.0003520132366800774,0.0012151120396040327,0.002489262813019283,0.00010044513767124333,7.785049425927042e-05,0.0016047387158513171,0.000740138150985895,0.0003093803896798773,0.0001351273213556182,1.8144011988627858e-05,4.94388960006122e-05,0.041765901236371694,0.005514769154155304,0.0037455058472740787,0.002153115969350055,0.00024068017865651998,0.001307728397406547,0.004020525590649803,0.0003646922697790539,0.002984381432776393,8.825898289891603e-05
Task 34537,0.02884584630384696,9.644493851744274e-05,0.04899390445878635,0.8314474934182515,0.0024682816462200776,0.00016191669327941186,8.599291319341245e-05,6.471423916100741e-05,0.0003254211713529555,3.299169678394522e-05,1.0674012608765824e-05,0.009994033508073319,0.010056112892336933,0.0008851340765676664,0.0001780448089474995,0.007883666227450514,0.0033567936286353775,0.0010332963640959838,0.0004045343477657856,0.0001355068594756794,0.00020669760754422472,0.00010459589975642114,0.0007309346500427027,0.0002046232768342848,7.875565198054877e-06,0.00037253929153768794,0.00030492369605283117,9.191654314572961e-05,8.169471526254472e-05,4.749892613987788e-06,1.0044195178628536e-05,0.019270434883285614,0.007156613494591965,0.0013018808113003464,0.0014799659680436615,0.0003971517310949093,0.0002621066904632186,0.012891645344552966,0.0008644136704344992,0.001575012267358184,0.000143745413541281
Task 34536,0.0619737348844884,0.0003829439108680013,0.04086045059055178,0.7902518413907913,0.0011527087889233942,0.00011273384403728723,0.00011175397833361608,0.00010389834400720104,0.0005549769767312501,5.84863918059365e-05,6.616889465978334e-06,0.0051069235809861335,0.012602376357148726,0.0008536852453401925,0.00018375226348748988,0.04510472951232769,0.0019916752019164194,0.0005995649962781935,0.0004218388160910705,4.267465372881048e-05,0.0001257562025855096,0.00013339305375766053,0.0008751829235832814,0.0001242043653000343,2.456663629344947e-05,0.0006683755526729618,0.00025000004263309693,6.565618671682411e-05,5.4208511274795104e-05,9.047414769740509e-06,1.0183687444108183e-05,0.01747646550225268,0.0038800695149476747,0.001340356821317471,0.0010150931097312535,0.0001045992441190798,0.0002802254751569654,0.003972359059560594,0.00027693802905857587,0.001023561889743203,7.165462576465596e-05
Task 9957,0.009957767497741883,0.027087818272704976,0.09387084277417189,0.4678807425247883,0.005466173295346368,0.0008231698545653541,0.0037027552312269216,0.008756208374767066,0.004760045702164824,0.0004934397082398366,0.00015965142251724105,0.06351783077211358,0.029425338230167367,0.001958523761408421,0.0020072596074256917,0.01396314825885936,0.003856710049391244,0.0020192262610076394,0.001219573906829429,0.0002446113839548931,0.0004287493424387557,0.009763789803729453,0.032115451457984875,0.003384096319758601,0.0011840721380905052,0.016690014251191487,0.010756713761986994,0.0028626908733553886,0.0022069398428177876,0.0004362035348970811,0.0006013526038715082,0.06545108276960943,0.018124621556321774,0.007575087484809007,0.00766487282621304,0.0007953553535248459,0.0044023184209638425,0.01824152334199553,0.004058948311472826,0.004672559368555061,0.0010005216769767007
Task 3493,0.19537217712426896,3.7936993243894776e-05,0.20658709908933443,0.42416182624636894,0.004246954749131495,0.00048375257124713434,0.00011413982667240773,0.00015448688406055622,0.0002873701759109077,6.826976645552246e-05,1.7844556548586826e-05,0.035518752706127144,0.018827605547671877,0.0021162014399760294,0.0006606540332923187,0.009660440138584359,0.004638963059222085,0.0011636368407440777,0.0010843180715521625,0.00024355354886213774,0.0003896080150677409,0.0002503522432637517,0.0006072011824455048,7.552253289816718e-05,2.0951195513415038e-05,0.00024003905277092397,0.00020448022578243002,3.7887170820051746e-05,5.624624173569421e-05,8.859555950328855e-06,1.2930377036022872e-05,0.05417018712419608,0.00675983782608083,0.0016998082644188676,0.002418022166956116,0.0003215205990066772,0.0008109830869727245,0.013010052077336973,0.0006952836167477897,0.0011031288674651389,0.00024047119342770253
Task 3904,0.029916791092519702,0.0005707024485745931,0.2587396979440787,0.10401366160676753,0.0019327080844293676,0.0006527115686965057,0.0002707384538321835,0.0012769656421013909,0.0008443627287420957,0.00010213443125103644,0.0001024429720435315,0.21474078797578294,0.07795947735495218,0.004157094658321949,0.003244846008914679,0.06249353836097807,0.003954038222679781,0.0023836467309979407,0.0012262484899816383,0.000273081196306005,0.0005039644380089765,0.0020865286957286178,0.0030892579743312804,0.0003416737664980753,0.0003992576285657181,0.0016842694046904777,0.0005003997145471297,0.0005450737502378974,0.00016969325300958274,6.004419806573079e-05,0.00015733943881454193,0.1469863203573479,0.014877573841629112,0.009664785542439838,0.008589459974973391,0.0011019447627565754,0.0037257658492291243,0.006059911976920938,0.0011563947431133554,0.003103873749166473,0.00044949722708656427
Task 3021,0.04571850331339845,0.002178469667726616,0.4972909488936549,0.2526988184188884,0.0006634860894034039,0.00041917107934288,0.002300473465888301,0.0014387602524073527,0.0022957163118901246,0.00011379603202688938,5.037080155271189e-05,0.02176288889093303,0.02312224227192905,0.0019678660062963428,0.0014075961415450004,0.0032715218085234143,0.0009740150680094868,0.0005936350726355364,0.0003532735405356544,3.878183711786948e-05,0.00025020366898193913,0.004360488084210967,0.004478036452172041,0.0003264608099459871,0.00103354354022173,0.0036331934272764155,0.0004352592701410582,0.0001004690722237792,0.00013920589115971676,2.088510000521407e-05,6.894194414258192e-05,0.08584905905369089,0.005487771592729322,0.006957186895917756,0.00509830652573558,0.002065120974558636,0.005883900632554044,0.0017413105074863427,0.00023450541857528823,0.0008988360232154806,0.0001285654933317824
Task 9960,0.03158650252511734,0.0178714711998688,0.5255553278712037,0.22410027142441108,0.0011737953527985062,0.00039226108544649176,0.0006755700835212493,0.002579621997909745,0.0015802185281879703,0.00011376340324503265,0.00010593106563421711,0.02823657657621259,0.022485938404324668,0.0014307804369553712,0.0015696911876927138,0.008011997108165914,0.0009237379854133308,0.0005504909955647394,0.00033035953647704347,5.3348145465253495e-05,0.0003219984739320674,0.010378437301012622,0.008429202120273122,0.0016492620971440349,0.000419699221138631,0.005239468592442814,0.0012687704594919564,0.00047929670957544456,0.0004574215856379591,9.422911439863849e-05,0.00027984515666920596,0.05310967652705795,0.010293849382332429,0.0055236808036395815,0.0069533517184647686,0.0005050010170737787,0.0030423126090432483,0.002961439250137072,0.0005342436587534181,0.0009772673631646652,0.00018398180130403587
