task_id,param_id,param_name,variance_contribution
9983,min. samples leaf,min. samples leaf,0.6692498207862665
9983,max. features,max. features,0.13330080673881506
9983,bootstrap,bootstrap,0.04810334226187174
9983,bootstrap / max. features,bootstrap / max. features,0.02983148281223988
9983,max. features / min. samples leaf,max. features / min. samples leaf,0.025888183207149584
9983,bootstrap / max. feat. / samples leaf,bootstrap / max. feat. / samples leaf,0.014618219729074206
9983,min. samples split,min. samples split,0.0036962567093002142
9983,split criterion,split criterion,0.007248657035230161
9983,imputation,imputation,0.0002742264205539036
3913,min. samples leaf,min. samples leaf,0.1343103564110605
3913,max. features,max. features,0.1745154752270111
3913,bootstrap,bootstrap,0.09622483485349659
3913,bootstrap / max. features,bootstrap / max. features,0.1619034970237646
3913,max. features / min. samples leaf,max. features / min. samples leaf,0.12645192989114698
3913,bootstrap / max. feat. / samples leaf,bootstrap / max. feat. / samples leaf,0.06184710326100179
3913,min. samples split,min. samples split,0.005269722867093481
3913,split criterion,split criterion,0.0010875147903090729
3913,imputation,imputation,0.0013279462394087292
146195,min. samples leaf,min. samples leaf,0.6101332014319832
146195,max. features,max. features,0.15050662619399133
146195,bootstrap,bootstrap,0.07045031525650447
146195,bootstrap / max. features,bootstrap / max. features,0.03909551965132871
146195,max. features / min. samples leaf,max. features / min. samples leaf,0.041765901236371694
146195,bootstrap / max. feat. / samples leaf,bootstrap / max. feat. / samples leaf,0.02072810908876002
146195,min. samples split,min. samples split,0.0009264178845399549
146195,split criterion,split criterion,0.0018125506447726912
146195,imputation,imputation,0.0005144087291710361
34537,min. samples leaf,min. samples leaf,0.8314474934182515
34537,max. features,max. features,0.04899390445878635
34537,bootstrap,bootstrap,0.02884584630384696
34537,bootstrap / max. features,bootstrap / max. features,0.009994033508073319
34537,max. features / min. samples leaf,max. features / min. samples leaf,0.019270434883285614
34537,bootstrap / max. feat. / samples leaf,bootstrap / max. feat. / samples leaf,0.010056112892336933
34537,min. samples split,min. samples split,0.0024682816462200776
34537,split criterion,split criterion,9.644493851744274e-05
34537,imputation,imputation,0.00016191669327941186
34536,min. samples leaf,min. samples leaf,0.7902518413907913
34536,max. features,max. features,0.04086045059055178
34536,bootstrap,bootstrap,0.0619737348844884
34536,bootstrap / max. features,bootstrap / max. features,0.0051069235809861335
34536,max. features / min. samples leaf,max. features / min. samples leaf,0.01747646550225268
34536,bootstrap / max. feat. / samples leaf,bootstrap / max. feat. / samples leaf,0.012602376357148726
34536,min. samples split,min. samples split,0.0011527087889233942
34536,split criterion,split criterion,0.0003829439108680013
34536,imputation,imputation,0.00011273384403728723
9957,min. samples leaf,min. samples leaf,0.4678807425247883
9957,max. features,max. features,0.09387084277417189
9957,bootstrap,bootstrap,0.009957767497741883
9957,bootstrap / max. features,bootstrap / max. features,0.06351783077211358
9957,max. features / min. samples leaf,max. features / min. samples leaf,0.06545108276960943
9957,bootstrap / max. feat. / samples leaf,bootstrap / max. feat. / samples leaf,0.029425338230167367
9957,min. samples split,min. samples split,0.005466173295346368
9957,split criterion,split criterion,0.027087818272704976
9957,imputation,imputation,0.0008231698545653541
3493,min. samples leaf,min. samples leaf,0.42416182624636894
3493,max. features,max. features,0.20658709908933443
3493,bootstrap,bootstrap,0.19537217712426896
3493,bootstrap / max. features,bootstrap / max. features,0.035518752706127144
3493,max. features / min. samples leaf,max. features / min. samples leaf,0.05417018712419608
3493,bootstrap / max. feat. / samples leaf,bootstrap / max. feat. / samples leaf,0.018827605547671877
3493,min. samples split,min. samples split,0.004246954749131495
3493,split criterion,split criterion,3.7936993243894776e-05
3493,imputation,imputation,0.00048375257124713434
3904,min. samples leaf,min. samples leaf,0.10401366160676753
3904,max. features,max. features,0.2587396979440787
3904,bootstrap,bootstrap,0.029916791092519702
3904,bootstrap / max. features,bootstrap / max. features,0.21474078797578294
3904,max. features / min. samples leaf,max. features / min. samples leaf,0.1469863203573479
3904,bootstrap / max. feat. / samples leaf,bootstrap / max. feat. / samples leaf,0.07795947735495218
3904,min. samples split,min. samples split,0.0019327080844293676
3904,split criterion,split criterion,0.0005707024485745931
3904,imputation,imputation,0.0006527115686965057
3021,min. samples leaf,min. samples leaf,0.2526988184188884
3021,max. features,max. features,0.4972909488936549
3021,bootstrap,bootstrap,0.04571850331339845
3021,bootstrap / max. features,bootstrap / max. features,0.02176288889093303
3021,max. features / min. samples leaf,max. features / min. samples leaf,0.08584905905369089
3021,bootstrap / max. feat. / samples leaf,bootstrap / max. feat. / samples leaf,0.02312224227192905
3021,min. samples split,min. samples split,0.0006634860894034039
3021,split criterion,split criterion,0.002178469667726616
3021,imputation,imputation,0.00041917107934288
9960,min. samples leaf,min. samples leaf,0.22410027142441108
9960,max. features,max. features,0.5255553278712037
9960,bootstrap,bootstrap,0.03158650252511734
9960,bootstrap / max. features,bootstrap / max. features,0.02823657657621259
9960,max. features / min. samples leaf,max. features / min. samples leaf,0.05310967652705795
9960,bootstrap / max. feat. / samples leaf,bootstrap / max. feat. / samples leaf,0.022485938404324668
9960,min. samples split,min. samples split,0.0011737953527985062
9960,split criterion,split criterion,0.0178714711998688
9960,imputation,imputation,0.00039226108544649176
3561,min. samples leaf,min. samples leaf,0.03733853423743193
3561,max. features,max. features,0.1577588884612613
3561,bootstrap,bootstrap,0.33426120709979135
3561,bootstrap / max. features,bootstrap / max. features,0.17925941890340213
3561,max. features / min. samples leaf,max. features / min. samples leaf,0.05805897740567058
3561,bootstrap / max. feat. / samples leaf,bootstrap / max. feat. / samples leaf,0.044196004171320497
3561,min. samples split,min. samples split,0.005295580948859603
3561,split criterion,split criterion,0.003043326554817178
3561,imputation,imputation,0.0006473734537631184
3022,min. samples leaf,min. samples leaf,0.6875116815403324
3022,max. features,max. features,0.19300783622352188
3022,bootstrap,bootstrap,0.016778846094785416
3022,bootstrap / max. features,bootstrap / max. features,0.009256196321550059
3022,max. features / min. samples leaf,max. features / min. samples leaf,0.030456454702389557
3022,bootstrap / max. feat. / samples leaf,bootstrap / max. feat. / samples leaf,0.008131038375094213
3022,min. samples split,min. samples split,0.002754953599556202
3022,split criterion,split criterion,0.0006186625472491036
3022,imputation,imputation,0.0003194885419659647
24,min. samples leaf,min. samples leaf,0.6868935939954203
24,max. features,max. features,0.041202637160399874
24,bootstrap,bootstrap,0.046600305042729585
24,bootstrap / max. features,bootstrap / max. features,0.007250448868207908
24,max. features / min. samples leaf,max. features / min. samples leaf,0.0764191521686215
24,bootstrap / max. feat. / samples leaf,bootstrap / max. feat. / samples leaf,0.025120958498471846
24,min. samples split,min. samples split,0.0007177876803571002
24,split criterion,split criterion,0.0008027429559419836
24,imputation,imputation,0.0003203086770804653
9978,min. samples leaf,min. samples leaf,0.11842664335355915
9978,max. features,max. features,0.24461698597319534
9978,bootstrap,bootstrap,0.07242538349869775
9978,bootstrap / max. features,bootstrap / max. features,0.17423749564448107
9978,max. features / min. samples leaf,max. features / min. samples leaf,0.10331168379607375
9978,bootstrap / max. feat. / samples leaf,bootstrap / max. feat. / samples leaf,0.04639225592341273
9978,min. samples split,min. samples split,0.0038916038782455895
9978,split criterion,split criterion,0.020683486749278345
9978,imputation,imputation,0.0010446111655979026
10093,min. samples leaf,min. samples leaf,0.595882079577199
10093,max. features,max. features,0.014112799091061353
10093,bootstrap,bootstrap,0.10234325820990922
10093,bootstrap / max. features,bootstrap / max. features,0.01051580521482746
10093,max. features / min. samples leaf,max. features / min. samples leaf,0.026496644278353076
10093,bootstrap / max. feat. / samples leaf,bootstrap / max. feat. / samples leaf,0.02689424168449603
10093,min. samples split,min. samples split,0.0038077829032492167
10093,split criterion,split criterion,0.0006359061575935878
10093,imputation,imputation,0.0005375950389619722
6,min. samples leaf,min. samples leaf,0.6290418248364729
6,max. features,max. features,0.19403603833853916
6,bootstrap,bootstrap,0.05506077265195389
6,bootstrap / max. features,bootstrap / max. features,0.014145276579867722
6,max. features / min. samples leaf,max. features / min. samples leaf,0.032270062547788525
6,bootstrap / max. feat. / samples leaf,bootstrap / max. feat. / samples leaf,0.012303036165147302
6,min. samples split,min. samples split,0.0028631316541676104
6,split criterion,split criterion,7.540749968718081e-05
6,imputation,imputation,0.00030512491570618285
3954,min. samples leaf,min. samples leaf,0.6434637806056709
3954,max. features,max. features,0.10926024922703229
3954,bootstrap,bootstrap,0.0014043800850583755
3954,bootstrap / max. features,bootstrap / max. features,0.03688852053821437
3954,max. features / min. samples leaf,max. features / min. samples leaf,0.06594890707958845
3954,bootstrap / max. feat. / samples leaf,bootstrap / max. feat. / samples leaf,0.01936108590396654
3954,min. samples split,min. samples split,0.004258280864011709
3954,split criterion,split criterion,0.002228185115042698
3954,imputation,imputation,0.0002626884069469263
9986,min. samples leaf,min. samples leaf,0.29611749397067233
9986,max. features,max. features,0.516098772556949
9986,bootstrap,bootstrap,0.007972939327911361
9986,bootstrap / max. features,bootstrap / max. features,0.025232714072414675
9986,max. features / min. samples leaf,max. features / min. samples leaf,0.03798841148502752
9986,bootstrap / max. feat. / samples leaf,bootstrap / max. feat. / samples leaf,0.008331308415050087
9986,min. samples split,min. samples split,0.0012992711806450697
9986,split criterion,split criterion,0.02348898696642538
9986,imputation,imputation,0.00019496030248865973
10101,min. samples leaf,min. samples leaf,0.2983117720720051
10101,max. features,max. features,0.09347665635585128
10101,bootstrap,bootstrap,0.0023750231587719196
10101,bootstrap / max. features,bootstrap / max. features,0.01024545632144637
10101,max. features / min. samples leaf,max. features / min. samples leaf,0.21262137292094285
10101,bootstrap / max. feat. / samples leaf,bootstrap / max. feat. / samples leaf,0.05416780746427807
10101,min. samples split,min. samples split,0.009005344016723158
10101,split criterion,split criterion,0.0014185062886607023
10101,imputation,imputation,0.0010764015704106621
3899,min. samples leaf,min. samples leaf,0.6252446063598678
3899,max. features,max. features,0.12429942642663418
3899,bootstrap,bootstrap,0.13661424799957386
3899,bootstrap / max. features,bootstrap / max. features,0.0052650287886450015
3899,max. features / min. samples leaf,max. features / min. samples leaf,0.019269413939360547
3899,bootstrap / max. feat. / samples leaf,bootstrap / max. feat. / samples leaf,0.01839291639870487
