task_id,max. depth,learning rate,algorithm,iterations,imputation
Task 9983,0.5636502747597587,0.1348225226846987,0.125439731529011,0.011970376495224163,0.0003754344394759774
Task 9985,0.7679526800472021,0.04680719093531584,0.024635130964249734,0.01298772996823009,0.0003878355442633468
Task 3913,0.22653691835172735,0.28193382358126456,0.029789375931631473,0.014803341267234042,0.0019488612145152563
Task 146195,0.574206212850297,0.09355566646454518,0.0978488253486439,0.023040926947658448,0.0005834508462546716
Task 34537,0.553568843801492,0.05516155685524092,0.20575342162253338,0.006513646648559097,0.00032143577038673944
Task 34536,0.3434207070486003,0.2559053319620244,0.0010749410738678613,0.03556334025738811,0.0008659392315873713
Task 9957,0.2705375902077129,0.16689350326117613,0.003408121563758847,0.014195747019280742,0.0009017374401046206
Task 3493,0.5681127907631109,0.023863661518281728,0.05779158603623467,0.018038285750074625,0.00045925908080982574
Task 3904,0.01094576088219074,0.5350709131417772,0.0273529159898457,0.06941611534438479,0.0012929351047575315
Task 3021,0.5563088523505091,0.032568061392153284,0.023909751763989108,0.030096998852376038,0.0018505040984271443
Task 9960,0.6897940477555502,0.015696514165260342,0.010801804815438302,0.005505598033062595,0.0013902841510760318
Task 3561,0.026615567385045537,0.3515939875463041,0.1393541772464319,0.024019351978213848,0.001257704317312342
Task 3022,0.8760321891926268,0.041040363948366534,0.0006011692005705856,0.005121231846528485,0.00021385121874403957
Task 24,0.3032414542772798,0.0309655726168079,0.006190081034077191,0.008853813002606454,0.0009709830195775418
Task 9978,0.21224304196135474,0.13828398308719217,0.0038942111746347,0.0158396012603003,0.0015587947670713783
Task 10093,0.263081857587691,0.18174185239747243,0.010117892687554562,0.060471751443400876,0.0002290664513611093
Task 6,0.8777814379486145,0.00945261961046313,0.024451745657358373,0.006718019551832143,0.00010121747254012308
Task 3954,0.49429573229283486,0.06261295539916197,0.03815143070741389,0.022643204610093372,0.00038186792165886564
Task 9986,0.789711672401762,0.05285072426196323,0.0011128805886789158,0.006846405148763221,0.00037240998663819473
Task 10101,0.39554284482441104,0.1487330827250941,0.05317684407840388,0.008239297222115733,0.001175630666654506
Task 3899,0.3176110965322286,0.20090589640305276,0.13889197193597952,0.01247055511135014,0.00034694410632949606
Task 3510,0.6864048876430502,0.07277315926958905,0.02290644065254266,0.012798747764368281,0.0003731811044018257
Task 9980,0.4838966581514613,0.09224571825053421,0.015166645262356917,0.02390748561425283,0.0010271736767088467
Task 34539,0.012118846367130443,0.5015768711012648,0.025206811255363934,0.03072720558616869,0.0018930307341177288
Task 31,0.06522171624033185,0.2837888723029661,0.025169393065826454,0.04672080933094374,0.0021462724437973607
Task 125921,0.014703247016290857,0.3840715327554039,0.04928064019296037,0.012582385254068247,0.0005729307132802295
