task_id,gamma,complexity,coef0,tolerance,imputation,shrinking
Task 9985,0.5629018420708202,0.08708115254998458,0.020789242438318943,0.0023476185618635415,0.0011885863915840698,0.00102237503234494
Task 3913,0.6026359234535579,0.032697989327809915,0.017444304549912124,0.014375235554882716,0.003219934436758335,0.00047130673438728417
Task 146195,0.8293043357959918,0.027382023608253182,0.0021862583854580096,0.0004481863340309086,0.0002273311353300779,9.338534287411844e-05
Task 34537,0.922381409884694,0.004682594072535468,0.00482342209244786,0.008883041824618975,0.00044852680086984373,0.0001477507350174999
Task 34536,0.9422065377345041,0.008305721800354734,0.0042071970929142355,0.00013115694878089852,0.00020936896481640998,0.00013611546576661003
Task 9957,0.8027024135020848,0.015979863058222955,0.0025459072503967043,0.010803090817606479,0.00036215279653667204,0.0004412279816583598
Task 3493,0.07605563740908872,0.031680948340581494,0.23954135379791153,0.00884710884832767,0.0006836098389455807,0.0012936293033614186
Task 3904,0.4597449469151508,0.025850575954906082,0.022940065549350214,0.00739698345315379,0.0029398358605547655,0.0002533850302353289
Task 3021,0.37357571234375364,0.22655758871294013,0.0708436261070899,0.0014290777739713362,0.00021099337043571393,0.001820819363187206
Task 9960,0.8163432414626327,0.017623830831721005,0.01691438703218885,0.0012082899853302822,0.000671852766274114,0.00010899100946158715
Task 3561,0.31748866119692876,0.045951919724150775,0.08210839690689545,0.11562586780241599,0.0018202025054552414,0.0013864731484973664
Task 3022,0.33966248856890235,0.2990936851845978,0.016753289442881323,0.0028116748367935478,0.0003248294979047042,0.00028967792400504957
Task 24,0.9540576893700505,0.0023162017647820523,0.0009946442475410062,0.0018026235027718688,0.0007881562971066089,7.030702279484421e-05
Task 9978,0.12201120493197924,0.1465567579926019,0.09265192966918057,0.05852646278711146,0.0020928862780172754,0.0020849594950631068
Task 10093,0.7671143996458765,0.05570187417408859,0.022209326999074578,0.0015510694763761772,0.0002894391946676218,8.907508748262452e-05
Task 6,0.8349593364044355,0.04096637963587635,0.00436304129969028,0.002139183301989246,0.00020339634387497234,0.000509314625117957
Task 3954,0.7754052101932283,0.023820769672079144,0.026342598236044068,0.004258378646171332,0.0004978227212038417,0.00019956875746399323
Task 9986,0.911222368153586,0.00899966410627146,0.009615183317663797,0.0014523538719012127,0.0002255263933991192,1.2140852162233521e-05
Task 10101,0.27794340298937675,0.03619529123765845,0.029988259395857968,0.05920608059224076,0.002169692575214212,0.004641430429770062
Task 3899,0.6147149327754978,0.024735269453294607,0.015156473070200821,0.019682272608696767,0.0013708290407646083,0.001093834986972195
Task 3510,0.9584569918399252,0.0060074242408606066,0.001700548043430644,0.0018823897021313439,0.00010238265977218663,2.0392765113727444e-05
Task 9980,0.09503053861127844,0.13092249423465796,0.06715020903042479,0.22467610503917002,0.0003254723800476721,0.0009892680475427106
Task 34539,0.1427232678864827,0.14853307261876358,0.01812055011794002,0.023978936960392418,0.006575183642208873,0.00027512039388743965
Task 31,0.7843872383035236,0.02157926648394901,0.0058120579063621865,0.016271195505474238,0.001552466532443486,0.00010158516750662861
Task 125921,0.8051820414474661,0.04653805890424419,0.0018479977665431455,0.013519154968070895,0.00028480298142690075,0.0001604625940958049
Task 41,0.8207559150275907,0.05400838447907249,0.005890145402042855,0.003394223504612248,0.0005316054201553737,2.3603670500759563e-05
Task 9955,0.3728478316195064,0.2349140217098622,0.001963232922414033,0.0045098371386796425,0.0011367825560133246,0.00013991478613371248
Task 11,0.9260494961797564,0.005460679153120415,0.005876596789544089,0.0037120643800123195,0.00021532672607104363,5.9768013263321574e-05
Task 20,0.9013011981908001,0.009342192732585132,0.001725885205854374,0.007406416305102593,0.00010190651592046466,0.000551549353427555
Task 3917,0.5753155145619299,0.004831087808214809,0.009192188201575458,0.12894648608398862,0.003884190516042236,0.0001606198494267671
Task 21,0.8824784400229025,0.00931903976859233,0.018507371622430994,0.0043956389050718615,0.0002822714534533795,8.632362462694172e-05
Task 7592,0.8774818341617867,0.015524278583624658,0.008247678767848592,0.0016489150546240743,0.00030132529848540384,7.18728400944154e-05
Task 28,0.8607326518341742,0.023773879937427758,0.00424616386526229,0.01023194960352876,0.0016132684656615863,0.0001767054191842139
Task 9981,0.38432100308649886,0.15556992639844608,0.002588501220743359,0.005417523116912588,0.0005875450725815499,0.0001562926201719039
Task 14965,0.6284324067841697,0.05272667861878272,0.014988112418109666,0.007281489865790255,0.00512339297737255,0.0003968249554909608
Task 3560,0.46426875838998527,0.060888001768051286,0.05935382105740115,0.012415763239808477,0.003129025811011691,0.000334926166469065
Task 37,0.7906246583469065,0.017653081639309814,0.012853419733068827,0.008357082572307656,0.0005096353854970208,0.0005903263427350033
Task 14,0.7052374115440168,0.09095476746855474,0.005900762847226281,0.005333910246335833,0.0002787427949175273,8.664033817689652e-05
Task 3948,0.5066460464543685,0.05180216411186919,0.0027711352328797286,0.008606418592584347,0.002474906854816643,1.900217956307759e-05
Task 3494,0.8122955426281754,0.015722015233850598,0.015219713158128558,0.00433490289168072,0.0004086650321480246,0.0001640042034899309
Task 29,0.9465009553239003,0.006514581457745071,0.003159818501716197,0.002081937055588247,4.041040200956556e-05,0.0012670693326744856
Task 146607,0.547576182003736,0.04441580070984888,0.013949719000202641,0.006103711070811993,0.0007683378402809661,0.0008712201652482453
Task 9946,0.9008694592547616,0.016427706149838954,0.010117174423827511,0.005609556550521724,0.0008295048333408767,2.026348042270986e-05
Task 125922,0.8444768349270046,0.04538232105768471,0.0013921761903340313,0.002351589264832175,0.00027650378416900555,0.00010766663859516359
Task 14970,0.9666498476952976,0.0025198515545855034,0.00013502395016668834,0.0025245123778720384,6.315656952419555e-05,3.047405235164271e-05
Task 3567,0.960742156604037,0.005392255278226549,0.004979700181695717,0.0005930317223421474,7.585841188042272e-05,2.9243874791318212e-05
Task 9979,0.9661010113701384,0.004807747663100879,0.0011070517022138218,0.001316024151401764,0.00011301393339420547,2.0024348195503277e-05
Task 3946,0.4367948409243751,0.026979456244519636,0.05576849418650848,0.02519995183247429,0.0030958245145040445,0.0006657185576612903
Task 9952,0.6359912673038244,0.04593567912349922,0.0369828232419664,0.007384023371513097,0.0007497022236052828,0.0001756051717116955
Task 45,0.9669774810082973,0.009446167682477196,0.0004741905883378262,0.00022296202430414612,9.449830783104265e-05,7.850328592275459e-06
Task 9977,0.8979551679377826,0.03124947462196883,0.01286630049730183,7.207050603444238e-05,3.61628620146963e-05,8.778806748958527e-06
Task 9964,0.8260199597455805,0.045821413533355615,0.009178929692354596,0.0008513857311016695,0.0004019041844422987,0.0010698197955899217
Task 22,0.7866559086243358,0.06643599268144146,0.0018165694218733842,0.0017177383699763572,0.0009014180610604121,8.646049600166895e-05
Task 36,0.6910496515172179,0.12220019948105265,0.0019360226848748711,0.0021496945250495374,0.0010920937209099972,1.7944743842687264e-05
Task 43,0.8800151606474163,0.0010021556136193403,0.019042927170735795,0.01362487405370022,0.00018898946634738852,0.0002795325404308041
Task 14964,0.7144695520419583,0.022202148509088283,0.030357292933385037,0.004532131095603552,0.0005428433569000943,0.0005793954257048488
Task 53,0.6821911443459135,0.05154695255295868,0.0031856765315562354,0.007709858745614305,0.0004635561105308945,5.778081444478454e-05
Task 14967,0.914237375676588,0.004402241316020251,0.005679079482559868,0.0019386984768399315,0.0008532078956984103,0.00010105376129910326
Task 14969,0.7662471252414862,0.007491221800597295,0.0351988544699515,0.019388608314462354,0.0005096526066238815,0.00045530328386866946
Task 3889,0.759118896561295,0.020901014951145033,0.03177764929067598,0.022554554488595686,0.0006899446226323794,0.0009967624247259322
Task 9950,0.847070300864617,0.019427422681389243,0.003488342583987337,0.0036344569874997745,0.00041616206950656324,0.00010884642517149028
Task 125920,0.21955318004529784,0.21138889728436527,0.007784063282420965,0.02059587299543444,0.0025293752206059727,0.0012308781429612686
Task 3485,0.7425506544586116,0.013496661586620976,0.05576403632740094,0.006045028630838439,0.00344733614931075,8.381968919133882e-05
Task 146606,0.6111207362391372,0.037230213344590285,0.0349826116824939,0.0010845671875966553,0.001105710741301154,1.8687651988145296e-05
Task 3918,0.35672825564910343,0.03423496173976272,0.011468837417722725,0.04048948354275125,0.0066588785426715015,0.002228030660687122
Task 9956,0.4277107005740389,0.3100795164945881,0.002302281974828854,0.0015665797668681898,0.0010545899080911026,0.0003234209126945955
Task 2074,0.9232642261731963,0.006860590170273208,0.012087251033070956,0.0007760090267578183,0.00018087086681281526,0.0007285272427821597
Task 219,0.77694168508662,0.033643905919326034,0.004805171081775977,0.004550583885206514,0.0007903697062563751,0.0001433206931621274
Task 3512,0.7078098076618832,0.10604791645937936,0.002517545175737425,0.00076276102217773,0.000409525777765375,0.00022568877345464718
Task 3903,0.5274566461637284,0.004019043031532927,0.2095255242466743,0.000569581516792062,0.0015744824450059623,1.3535789511793948e-06
Task 18,0.6688634638055984,0.1187895906433664,0.0030970241566701737,0.004106879232844994,0.0010686459180797856,0.00012831570393948715
Task 3481,0.8742708397960549,0.019731776814035297,0.0006451991589294696,0.006666153217325403,0.0002689021833276864,0.0004486171415599116
Task 34538,0.894724016788919,0.0026464743460349357,0.005249502915230013,0.007734487767436062,0.0018886942039128168,0.00012896791964353902
Task 49,0.5768266146356409,0.12381740985433073,0.011527987335709644,0.00852872799867096,0.0033628487480779914,0.0004804473970268305
Task 3492,0.312198127440515,0.05856594277492885,0.12427431450001152,0.007584023643086227,0.014060442054247117,0.0013030677495585816
Task 9970,0.1917011420636943,0.07192592325546175,0.008569243836725617,0.010658566789361957,0.005193581359376192,0.003180085551814497
Task 14968,0.8964094949059506,0.009932863284928945,0.004058366810640795,0.010506226779224307,0.0005996884364695604,2.221446721010135e-05
Task 9954,0.4463953738778179,0.29961350840916035,0.0010431750870076065,0.0023428973412830336,0.0003081291515724724,0.00015022820181053188
Task 125923,0.9375913493213203,0.001695078536008049,0.0016104251425535215,0.011251824583764568,0.00014615737240154453,3.289160279557967e-05
Task 32,0.9091596925717762,0.017722897879531428,0.0021823920182426756,0.0051289555031079,9.446861794323725e-05,2.4318766176399922e-05
Task 12,0.7124517264948852,0.05368380101104964,0.0036774662107549134,0.017636329216320752,0.0005646812042130212,9.685873358225974e-05
Task 14966,0.7612899059480589,0.03997570123752441,0.0029351988948471295,0.008569067653125805,0.0001492830744512514,8.737394019765705e-05
Task 9914,0.07303474802923718,0.15365261107566658,0.06565057311472242,0.05050525413328687,0.0002762696168168016,0.0006696222532464515
Task 58,0.9114533722022609,0.006265772721938105,0.005819180399188794,0.002200167500100109,0.0008686203188500745,0.0001794024416899415
Task 3902,0.5003676851253871,0.07707655593766552,0.07389961911406112,0.046046600436672844,0.00020994041623053288,0.0012102426583792676
Task 16,0.5960026343005924,0.11772996364312147,0.011584462970714672,0.0018220217196605229,8.19616032753674e-05,0.0004428122521164667
Task 9971,0.2479026360392994,0.05946045897178699,0.02848996992656623,0.07261165409456918,0.0030613053088743613,0.0009375437702264177
Task 15,0.6659311384259543,0.00929762950260038,0.031090896483043164,0.026795929051450004,0.002731923071395322,0.0005673840824332269
Task 3543,0.9211913743367997,0.0028298207546198504,0.00797206114599493,0.006799159173039255,0.0002168301423811775,0.00021677417321718933
Task 23,0.6226102330141222,0.04563525877927796,0.020883935678224823,0.017604548915961034,0.001951145567678673,0.00016720479842410228
Task 9968,0.9238961594305908,0.008830903393400997,0.005851766757056647,0.002662977598232109,5.821874936444263e-05,8.762597259845778e-06
