task_id,param_id,param_name,variance_contribution
9985,gamma,gamma,0.5629018420708202
9985,complexity / gamma,complexity / gamma,0.17428727653461584
9985,complexity,complexity,0.08708115254998458
9985,coef0 / gamma,coef0 / gamma,0.055021347995171
9985,gamma / tol,gamma / tol,0.00631962587899455
9985,coef0,coef0,0.020789242438318943
9985,tol,tol,0.0023476185618635415
9985,imputation,imputation,0.0011885863915840698
9985,shrinking,shrinking,0.00102237503234494
3913,gamma,gamma,0.6026359234535579
3913,complexity / gamma,complexity / gamma,0.08768542819858793
3913,complexity,complexity,0.032697989327809915
3913,coef0 / gamma,coef0 / gamma,0.047976097927989625
3913,gamma / tol,gamma / tol,0.04220295442919666
3913,coef0,coef0,0.017444304549912124
3913,tol,tol,0.014375235554882716
3913,imputation,imputation,0.003219934436758335
3913,shrinking,shrinking,0.00047130673438728417
146195,gamma,gamma,0.8293043357959918
146195,complexity / gamma,complexity / gamma,0.10282801827541121
146195,complexity,complexity,0.027382023608253182
146195,coef0 / gamma,coef0 / gamma,0.007692365307078841
146195,gamma / tol,gamma / tol,0.001361020144979486
146195,coef0,coef0,0.0021862583854580096
146195,tol,tol,0.0004481863340309086
146195,imputation,imputation,0.0002273311353300779
146195,shrinking,shrinking,9.338534287411844e-05
34537,gamma,gamma,0.922381409884694
34537,complexity / gamma,complexity / gamma,0.011616049454414079
34537,complexity,complexity,0.004682594072535468
34537,coef0 / gamma,coef0 / gamma,0.009491389819829998
34537,gamma / tol,gamma / tol,0.01255535119625838
34537,coef0,coef0,0.00482342209244786
34537,tol,tol,0.008883041824618975
34537,imputation,imputation,0.00044852680086984373
34537,shrinking,shrinking,0.0001477507350174999
34536,gamma,gamma,0.9422065377345041
34536,complexity / gamma,complexity / gamma,0.012404546782597947
34536,complexity,complexity,0.008305721800354734
34536,coef0 / gamma,coef0 / gamma,0.007273171368672893
34536,gamma / tol,gamma / tol,0.0008774236329540206
34536,coef0,coef0,0.0042071970929142355
34536,tol,tol,0.00013115694878089852
34536,imputation,imputation,0.00020936896481640998
34536,shrinking,shrinking,0.00013611546576661003
9957,gamma,gamma,0.8027024135020848
9957,complexity / gamma,complexity / gamma,0.07014705783935227
9957,complexity,complexity,0.015979863058222955
9957,coef0 / gamma,coef0 / gamma,0.010080396952834358
9957,gamma / tol,gamma / tol,0.04262225436652186
9957,coef0,coef0,0.0025459072503967043
9957,tol,tol,0.010803090817606479
9957,imputation,imputation,0.00036215279653667204
9957,shrinking,shrinking,0.0004412279816583598
3493,gamma,gamma,0.07605563740908872
3493,complexity / gamma,complexity / gamma,0.06047131305849984
3493,complexity,complexity,0.031680948340581494
3493,coef0 / gamma,coef0 / gamma,0.2324142530985056
3493,gamma / tol,gamma / tol,0.009193082673889264
3493,coef0,coef0,0.23954135379791153
3493,tol,tol,0.00884710884832767
3493,imputation,imputation,0.0006836098389455807
3493,shrinking,shrinking,0.0012936293033614186
3904,gamma,gamma,0.4597449469151508
3904,complexity / gamma,complexity / gamma,0.15933649771090197
3904,complexity,complexity,0.025850575954906082
3904,coef0 / gamma,coef0 / gamma,0.09604033748677954
3904,gamma / tol,gamma / tol,0.052063761956532256
3904,coef0,coef0,0.022940065549350214
3904,tol,tol,0.00739698345315379
3904,imputation,imputation,0.0029398358605547655
3904,shrinking,shrinking,0.0002533850302353289
3021,gamma,gamma,0.37357571234375364
3021,complexity / gamma,complexity / gamma,0.2215160236506052
3021,complexity,complexity,0.22655758871294013
3021,coef0 / gamma,coef0 / gamma,0.049578663987533966
3021,gamma / tol,gamma / tol,0.005690996477561713
3021,coef0,coef0,0.0708436261070899
3021,tol,tol,0.0014290777739713362
3021,imputation,imputation,0.00021099337043571393
3021,shrinking,shrinking,0.001820819363187206
9960,gamma,gamma,0.8163432414626327
9960,complexity / gamma,complexity / gamma,0.04914610820080212
9960,complexity,complexity,0.017623830831721005
9960,coef0 / gamma,coef0 / gamma,0.03415399815005982
9960,gamma / tol,gamma / tol,0.003433839142908854
9960,coef0,coef0,0.01691438703218885
9960,tol,tol,0.0012082899853302822
9960,imputation,imputation,0.000671852766274114
9960,shrinking,shrinking,0.00010899100946158715
3561,gamma,gamma,0.31748866119692876
3561,complexity / gamma,complexity / gamma,0.07594425141458983
3561,complexity,complexity,0.045951919724150775
3561,coef0 / gamma,coef0 / gamma,0.03856957711719344
3561,gamma / tol,gamma / tol,0.0898937866937565
3561,coef0,coef0,0.08210839690689545
3561,tol,tol,0.11562586780241599
3561,imputation,imputation,0.0018202025054552414
3561,shrinking,shrinking,0.0013864731484973664
3022,gamma,gamma,0.33966248856890235
3022,complexity / gamma,complexity / gamma,0.2508163781709778
3022,complexity,complexity,0.2990936851845978
3022,coef0 / gamma,coef0 / gamma,0.017196979658756995
3022,gamma / tol,gamma / tol,0.00442669713807849
3022,coef0,coef0,0.016753289442881323
3022,tol,tol,0.0028116748367935478
3022,imputation,imputation,0.0003248294979047042
3022,shrinking,shrinking,0.00028967792400504957
24,gamma,gamma,0.9540576893700505
24,complexity / gamma,complexity / gamma,0.0059184993410524855
24,complexity,complexity,0.0023162017647820523
24,coef0 / gamma,coef0 / gamma,0.0035633280322038274
24,gamma / tol,gamma / tol,0.004482808873667213
24,coef0,coef0,0.0009946442475410062
24,tol,tol,0.0018026235027718688
24,imputation,imputation,0.0007881562971066089
24,shrinking,shrinking,7.030702279484421e-05
9978,gamma,gamma,0.12201120493197924
9978,complexity / gamma,complexity / gamma,0.07761238755495724
9978,complexity,complexity,0.1465567579926019
9978,coef0 / gamma,coef0 / gamma,0.16745681098932375
9978,gamma / tol,gamma / tol,0.05026645782550647
9978,coef0,coef0,0.09265192966918057
9978,tol,tol,0.05852646278711146
9978,imputation,imputation,0.0020928862780172754
